MaxT,MinT,WindSpeed,Humidity 
27,24.4,5.1,69
30.9,25.1,4.5,85.2
32.6,26.1,4.7,75.2
34,26.2,4.3,74.6
34.1,27,4.5,76.8
33.7,26.1,4,75
33.3,26.1,4.4,73.6
32.4,25.8,4.1,73.1
31.5,26.5,3.8,73.4
32.9,27.2,4.9,72.6
34.1,27.6,4.8,69.4
33.5,28.2,4.5,71.5
32.7,27.2,4,78.4
32.3,26.1,4.5,72.5
34.1,27,4.1,78.8
35.7,26.9,2.7,72.6
33.7,26.5,3.1,70.3
32.5,26.5,3.3,65.6
30,26.4,3.9,78.1
32.6,27.2,3.2,71.3
33.8,27,3.3,77.7
34.4,26,2.7,76.7
33.3,27.9,3.5,75.1
32.6,27.7,3.8,73.3
29.6,26.3,4,70.9
30.9,25.6,3.8,73.2
31.8,26.3,4.1,73.9
32.8,26.8,3.8,68
35,26.6,3.1,67.5
34.7,26.3,2.2,73.4
34.7,26.8,2.5,67.2
35.2,26.4,2.7,74.1
31.7,24.9,2.9,79.3
33.6,26.7,2.6,81
33.6,27.1,2.2,75.4
34.5,26.9,1.8,77.8
34.5,27,2.4,79.7
34.1,26.9,2.1,83.2
33.5,27.3,2.5,69.5
35.1,27.5,2.3,76.3
34.4,26.8,1.7,66.3
33.6,25.7,2.1,72.2
29.4,25.1,1.7,82.4
29.1,25.1,2.7,75.3
28.8,24.8,3.4,77.2
29.7,25,3.3,73.7
28.1,24.8,3.7,77.6
28.8,24.4,3.5,74.6
30.4,25.4,3.8,77.8
31.3,26.6,3.6,74.6
30.7,26.3,3,76.1
32.3,25.7,2.7,76.9
32.7,25.3,2.5,80.6
34.1,25.7,2.9,71.8
34.7,25.8,2.5,73.2
34.8,26.2,2.1,73.3
31.7,26.5,2.7,70.3
32.1,25.6,4.1,70.4
32.5,23.9,3.2,77.3
32.7,25.4,1.3,82.4
33.2,26.1,1.2,77.4
33.9,26.5,1.7,76.7
34.9,27,2.8,79.5
35.6,27.3,2.2,74.9
35.6,26.6,1.8,75.9
35,27.1,2.1,68.3
35.1,26.4,1.7,73
35,26.1,1.6,72.2
34.9,26.4,1.3,73.4
35.1,26.4,1.8,67.8
34.3,26.4,1.6,71.7
34.2,25.9,1.6,70.5
34.1,25.7,1.9,71.6
34.1,25.5,1.9,71.9
33.9,25.7,1.6,65.4
32.2,25.3,2.1,74.3
34,24.1,1.5,79.3
33.5,25,2,73
33.6,24.5,1.3,70.8
33.2,24.8,2,79.4
33.3,24.9,1.2,80.5
32.7,24.9,2,80.6
32.2,24.5,2,67.5
31.2,23.9,1.6,73.2
30.6,23.7,2.1,83.7
26.6,23.7,2.2,72.8
24.9,23.4,2.2,80.6
26.2,23.5,2.2,81.8
26.4,23.4,2.1,82.6
26.9,24.2,1.5,85.8
28.1,24,2,88.4
29.2,24.7,0.9,69.1
30.9,24.6,1.1,83.5
31.2,24.3,1.2,76.9
31.4,24.7,1,79.3
30.8,24.4,0.9,81.9
29.8,23.5,1.2,78.2
27.7,23,1.1,79.4
29.7,22.7,1.7,80.4
30.7,23,2.1,76.8
30.5,23.3,1.9,80.5
29.5,22.9,2,79.6
30.4,22.8,1.9,75.5
30.2,23,1.8,73.1
30.3,23.3,1.5,77.6
30.5,23.3,1.8,74.1
30.9,23.5,1.2,67.8
30.3,22.8,1.2,75.4
30.5,22.5,2,74.7
30.7,20.7,1.1,72.8
30.3,20.5,1.2,72.1
30.4,20.1,1.6,68.7
29.6,21.5,1.8,74
29.9,22.4,2.1,72
30.5,23.7,1.9,77.1
30.9,22.5,1.7,77.3
30.8,22.5,1.9,74
31,22.8,1.7,79.3
31.1,22.7,1.5,77
31.2,22.4,1.5,70.9
31.1,23,1.8,72.9
30.9,23.6,1.6,69
30.5,22.8,1.6,68.1
30.8,21.9,1.5,70.2
30.1,20.8,1.5,69.5
30.3,20.8,1.9,73
31.1,20,1.8,70.7
30.9,19.6,1.6,65.7
30.2,19.9,1.8,68.9
30.7,23,1.6,78.1
30.7,21.9,1.6,74.2
30.7,22.4,2,69.1
30.1,21.3,2.1,67.9
30.3,19.9,1.8,65.8
30.1,18.9,2.3,65.9
29.6,18,2,58.9
29.5,18.3,1.7,64.5
29.2,18.4,1.3,65.3
28.9,19.6,1.6,61.9
29.6,21.2,1.6,69.2
29.4,21.6,1.8,66.9
29.4,20,1.9,68.9
28.7,20,1.8,67.9
29.6,20.2,1.4,65.1
29.4,19.6,1.4,66.5
29.6,19.1,1.8,72.2
30.2,19.6,1.3,67.2
29.2,20.6,1.2,65.9
30.2,20.8,1.5,67.4
29.9,20.4,1.1,69.4
29.9,20.1,1.7,64.1
30.5,20,1.3,57.5
29.8,19,1.3,62.8
29.7,19.1,1.5,65.3
29.2,18.8,1.5,69.8
29.3,19.5,1.7,64.9
29.1,19.5,2,62.9
29,18.6,1.7,64.9
29.4,19.5,2.2,67.4
29.1,18.8,1.7,65
29.1,18.9,1.5,67.1
29.2,19.2,1.9,67.1
29.4,20,1.8,65.2
29.8,20.1,2,62.3
29.9,19.7,1.8,67.8
30.6,19.5,1.6,67.2
30.1,19.8,1.8,58.6
29.5,20.4,2.3,60.9
30.1,20.4,1.4,67.6
31.2,20.8,1.2,57
30.6,21,1.3,64.9
31.3,20.6,1.2,67.4
30.9,21,1.7,63.8
30.4,23,1.7,66.2
30.2,21.4,2,62.6
30.2,19.8,1.6,61.4
30.1,19.2,2.2,68.2
30.8,19.8,2.5,68
30.3,20.2,2.4,64.8
30.2,20,2.3,66.6
31.5,19.5,1.6,63.4
31,19.4,1.3,63.1
30.7,20.3,1.9,67
30.8,21,1.8,59.6
31.7,21.1,1.4,62.5
32,20.8,1.3,56.4
32.1,20.6,1.4,64.1
31.9,21.2,1.6,61.7
31.6,21.7,2,65
30.9,21.6,2.4,68.6
30.6,22.9,2.7,67.8
30.5,20.6,2.5,69.5
31,21.6,2.4,70.6
30.7,22.5,3,65.5
31.7,21.3,2,61.4
31.5,20.6,1.8,59.3
30.9,22.4,1.8,58.3
31.7,23,1.9,61.1
30.5,22.3,2.5,66.5
30.9,21.7,3.2,62.7
31,21.2,2.4,58.2
31,19.6,2.3,53.9
32,18.9,2.3,54.7
31.4,19.3,2.2,54.7
31.6,19.9,2.7,53.6
33,19.5,1.9,64.9
32.2,20.1,1.6,67.6
32.2,21.1,2.3,67.8
32,22,2.4,58
33,22,2.5,56.9
32.9,23,2.5,55.5
33.3,24.4,2.3,57.7
31.4,24.7,2.3,56.5
33.2,24.5,2.2,53.1
32.4,23.5,2.1,56.2
32.3,24.2,2.6,52.5
32.8,24.4,2.5,60.9
32.8,24.4,2.4,62.7
32.5,24.3,2.6,61.6
32.3,23.9,2.5,59.3
33.1,24,3.2,65.1
32.3,23.3,3.1,66.2
32.7,21.6,2.6,65.4
34.3,22.1,2.8,58.2
34.3,23.6,2,52.9
33.8,22.9,1.9,52.4
34.3,22.8,2.2,59.5
35.6,23.5,1.5,58.2
35.5,24,2.1,57.2
35.2,24.1,2,62.9
34.6,25.4,2.1,63.2
35.1,25.2,1.9,53.8
35,25.6,1.8,54.2
35.8,25.8,2.5,44.2
35.4,25.4,2.5,51
35.4,25.2,1.9,49.4
34.4,24.8,2.1,52
34.6,24.8,2.2,49.2
33.9,24.1,1.9,50.2
34.6,25.2,2.5,58.3
35.4,24.4,2,51.2
35.7,25.4,2.2,49.8
35.2,26.5,2,54.9
35.3,26.5,2.4,47.8
35.8,25.7,2.3,46.9
34.8,25.7,2.2,48.7
34.5,25.5,2.6,58
35.1,26,2.6,56.5
35.3,26.1,2.6,54.7
35.1,26.4,2.1,54.3
36,26.3,1.9,53.3
35.3,25.8,2,53.6
35.7,26.6,2.3,52.6
35,24.1,2.4,59.9
35.4,25.8,2.5,58.5
34.7,25.9,2.6,57.9
34.6,26.6,2,59.9
34.7,25.3,2.5,60
34.8,26.2,1.9,66.9
35.2,25.8,2,57.7
35.6,27.3,2.9,67.7
37.6,27.3,2.5,49.3
38.2,27.9,2.7,48.1
37.9,27.9,2.5,40.4
37.8,27.5,2.2,48.9
37,27.7,2.5,52.8
37.3,27.4,2.4,51.7
37.6,28.3,2,57.9
