MaxT,MinT,WindSpeed,Humidity 
32.9,26.6,5.2,72.1
32.7,26.6,5.1,71.6
32.7,26.5,5,70.8
31.5,26.5,5.1,67.7
29.7,25.5,4.9,72.4
34.3,26.6,5.3,68.6
36,28,4.9,67.8
36.8,27.4,4.6,68.6
35.6,27.9,3.9,68
35.3,28.3,3.7,60.5
36.1,27.3,3.5,61.2
35.6,26.2,3,72.1
34.9,26.7,4.1,72.5
33.4,26.1,3.4,72.3
33.5,25.5,3.1,73
30.8,26.5,3.1,72.9
33.6,25.8,2.3,72.5
33.3,27.6,2.1,74.8
31.3,24.7,2.6,79.2
32.7,25.4,4.4,76.6
28.6,24.8,4,66.7
27.2,24.6,5,73
28.5,24.4,4.9,73.7
29.5,25.4,5.5,74
32,25.9,4.8,57.4
32.8,25.9,4.7,70.1
32.4,26.5,4.7,65
30.4,25.5,4.9,79.1
29.7,25.4,3.9,66.6
28.3,24.9,5.2,77.2
30.4,25.3,4.3,66.4
31.3,26,5.6,64.8
30.2,26.2,4.9,69.8
27.9,24.8,5,71
25.7,24.3,5.1,78.6
29,24.3,4.9,78.5
31.8,25.6,5.1,65.3
32.7,26.8,4.7,66.9
34,26.9,4.6,72.9
31.7,26.4,4.3,78.8
31.4,26.5,3.7,71
32,25.9,3.7,72.7
32.1,25,2.6,74.9
32.6,25,2.8,78.7
31.1,25.9,2.2,78.3
32.7,26.4,2.8,75.9
31.6,25.5,3,75.9
34,26,3.5,69.3
34.5,26.3,2.7,66.2
33.9,27.6,2.4,69
31.8,25.8,2.6,78
32.5,26.7,2.5,76.3
33.7,26.8,1.6,74.2
33.7,27.1,2.1,76.6
33.7,27.1,2,70.6
33,26.7,2.2,73
33.7,26.6,2.4,69
33.3,27.1,1.8,79.8
33.6,27.1,2.8,72.8
33.4,27.5,2.5,70.4
33.4,26.9,2.8,76.5
33.7,26.8,2,74.7
33.4,26.4,2.3,75.3
33.8,26.7,2.7,75.9
29,25.9,2.4,68.7
29.1,25.2,2.9,81.8
29.1,25.4,2.5,72.3
29.2,25.8,2.4,75.5
29.3,25.4,4.7,69.4
32.3,26,3.5,64.1
33.5,26.4,3.5,67.6
33,26.7,4.5,81.2
30.8,26.9,5.2,67.1
30.3,26.8,5.8,63.6
32,26.9,4.8,70.4
34.2,26.6,3.9,66.3
32.2,26.2,3.3,75.1
31.3,25.9,3.1,75.6
31.1,25.9,3.1,71.9
33.9,25.8,2.7,70.6
34.7,26.3,2.7,72.3
33.7,26.6,3.1,71.6
34.6,25.7,3.2,72.3
35.5,26.2,2.9,68.8
34.5,25.4,2.5,73.6
34.6,24.5,2,70.9
34.7,25.2,2.3,71.1
34.6,26.3,1.8,68.4
32.6,26.1,1.3,74
33,25.9,2.2,61.7
33.4,25.6,2.5,73.2
34.5,26,1.8,73
34.4,26.4,2.1,74.3
33.3,26.4,2.2,72.3
33.8,26.3,1.9,74.2
34.5,25.8,1.7,72.5
34.3,25.8,1.6,72.4
34,26,1.9,76.5
33.3,25.5,2.1,75.5
33.8,25.2,2.2,73
33.7,24.9,2.5,71.1
33.4,25,2.1,78.9
33.6,25.6,2.3,70.9
32.7,25.8,2.8,78.1
33.4,25.5,2.5,71.1
33.6,25.3,2.3,72.4
33.5,25.4,2.3,75.9
30.9,25.6,2.3,76.4
31.7,24.9,2,64.3
28.7,24.5,2.5,75.3
32.3,24.6,2.8,76.4
31.8,24,2.5,76.2
33,22.9,2.6,73.1
33.4,22.1,2.2,65.5
32.7,22.3,1.7,63.2
32.3,21.4,1.4,63.6
33.7,21.2,1.6,61.9
33.2,20.8,2,63.7
34.4,20.8,1.2,61.2
34.6,20.5,1.7,59
33.4,20.5,1.8,60.4
32.7,21.3,1.9,67.3
32.2,21.1,1.8,62.9
32.9,21.5,1.8,66
32.4,20.8,1.5,66.7
32.4,21.5,1.2,63.9
32.6,22.1,1.5,70.9
32.7,23.2,1.7,70.3
31.9,23.1,1.7,68.5
32,21.4,2,66.1
32,22.3,1.5,70.9
30,22.7,2.9,75.3
27.6,22.7,3.4,67.5
29.5,23.5,3.7,68.8
31,24.4,2.5,74.9
31.4,24.9,2.4,70.2
32.1,25.3,1.7,76.5
31.9,25.4,2.2,76.2
32.3,24,2.3,76.7
31.6,24.2,2.1,73.8
32,24.4,2.3,79.8
31.5,23.3,2.4,68.7
29.5,22.1,2.4,69.9
29.8,21.5,3.4,74
28.3,22.3,4,80.6
26.9,22.7,3.2,76.4
28.5,23.1,2.7,72.9
30.5,23.7,2,70
29.9,23.9,1.7,70.8
30.7,22.8,1.7,69.7
30.8,21.5,1.7,68.1
31.2,21.8,1.8,67.4
30.9,21.2,2.3,73.1
30.3,20.6,2.3,65.6
30.7,20.2,1.8,66.2
30.6,20.9,2.2,71.7
31,21,1.9,69.1
31,21.6,1.5,72.7
30.9,21.6,1.6,71.7
31.1,21.9,2.2,73.9
31,22,2.3,77.9
31,21.7,1.9,73.2
30.7,20.3,1.7,73.8
30.6,20.6,2,75
30.5,20.8,2.6,67.9
30.3,20,2.3,63.8
30.3,19.7,1.8,69.3
30.4,19.2,1.3,63.1
31,19.4,1.5,79.1
30.5,20.1,1.8,68.1
30.9,20.3,1.3,69.6
30.5,22.2,1.5,78
30.4,20.9,1.4,62.7
30.9,20.3,1.2,66.6
31.4,20.5,1.1,63.4
30.2,19,1.2,58.3
30.5,19,1.5,57.7
30.1,18.9,1.4,61.8
29.7,19.2,1.7,64.4
29.9,18.8,1.8,67.2
29.3,20.6,1.8,66.9
30,21.7,1.9,66.8
29.5,20,1.5,65.2
30,20,1.9,68.3
30.1,19.6,2.3,65.5
30.5,20.8,2.4,76.9
30.8,21.3,2.8,73.1
29.9,21.7,3.3,71.4
30.4,21.4,2.7,65
30.2,20.1,2.3,67.3
30.5,19.5,2.6,67.8
30.1,20.4,2.7,67.5
29.9,20.3,2.7,59
30.2,19.7,2.5,64.7
30.3,19.2,2.1,62.9
30.6,19.6,2.1,65.6
30.5,19.3,1.8,63.8
30,19.4,2.3,63
30.6,19.4,2.4,58.8
30.9,19.5,2.4,63
31.1,20.3,2.4,56.6
31.1,19.3,2.4,59.2
31.3,19.7,2.3,60.9
31.3,20,1.9,61.4
32.1,20.3,2.1,61.8
32,19.9,2.2,68.7
32.3,19.8,2.5,60.5
32.4,20.4,2.1,64.1
31.7,21.1,2,55.9
31.9,21.5,1.8,58.8
32.3,22.3,2.4,61.1
31.9,22.1,1.9,59.9
32.1,22.2,1.9,62
32.1,22.3,1.9,58.7
32,22.5,2.4,63.8
32.3,22,2.1,65.9
32.1,21.9,2.2,56.5
32,21.6,2.2,56.6
31.4,21.2,2.2,62.5
32,21.9,2.1,65.9
31.5,21.3,1.8,58.2
32.5,21.3,1.6,59.2
33.6,21.4,1.6,60.3
32.8,21.5,1.9,57.7
32.6,21.2,2.5,59.3
31.8,21.3,2.7,59.3
31.7,22.1,2.9,59.9
33,21.4,1.9,57.2
32.8,21,2.5,52.3
32.6,21.8,2.6,55.6
32.9,21.5,2.3,57.6
33.7,21.3,2.4,56.7
34.3,22,1.7,54.8
35.1,23.2,2.6,57.6
35.3,23.5,2.3,53.9
35.9,24.3,1.8,52.6
35,22.9,1.7,51.4
35.3,24,2.5,49.2
36.9,23.2,2.3,53.3
33.3,23.5,2.1,42.9
34.4,23.1,1.9,56
34.5,23.4,2.2,56.3
35.1,23.8,2.4,42.5
35.3,23.9,2.4,41.8
34.2,23.8,2.5,48.1
33.6,23,2.5,54.1
32.1,22,3.1,66.2
32.6,24.8,3.8,55.3
34.7,23.3,2.8,52.5
35.5,22.9,2.2,54.8
33.9,22.7,2.6,46
32.9,24,2.3,50.2
31.2,24,2,60.2
33.9,23.7,1.8,61.6
33.1,22.4,2.1,50.8
33.8,22.9,2.1,54.9
34.1,23.2,2.1,52.8
34,24.6,2.7,60
33.2,24.5,2.6,58.9
33.6,24.6,2.9,54
34.1,24.1,2.6,55.3
33.9,23.4,2.3,55.8
34.5,23.8,2.4,55.4
34.8,23.2,2.3,55.6
34.8,24.3,2.1,50.6
35,24.5,2.4,50.8
34.7,24.8,2.3,53.2
35.3,25.6,2.4,55.1
35.8,26.4,2.7,49.6
35.9,25.5,2,50.5
35.7,24.7,2.4,55.1
35.6,25.6,2.7,57.3
36,25.7,2,51.4
36.2,26.8,2.6,47.3
36.3,26,2.5,48.4
36.1,26.3,3,46.8
34.7,25.9,2.7,60.2
34.8,25.9,2.6,64.8
35.1,25.3,2.5,58.9
36,25.3,2.1,55.4
35.9,25.3,2.2,52.1
36.6,25.3,2.1,49.9
37.6,25.6,2.5,45.1
36.5,25.8,2.5,48.8
36.8,26.5,2.1,44
37,27.3,2.9,46.6
36.3,28.6,2.5,46.3
36.8,28.6,2.7,43.8
38.1,27.8,3.3,44.3
39.8,29.4,3.7,39
39.3,29.4,3.4,38.1
37.9,28.7,2.9,39
37.8,27.7,2.6,53.3
36.9,28.2,2.6,41.8
37.3,28.1,2.9,46.3
37.3,27.9,2.3,44.6
37.2,27.5,2.6,43.2
37.2,27.7,2.6,42.3
37.6,28,2.7,43
37.5,28.3,3,48
37.6,28.5,3.1,44.4
38.1,28.4,3.1,41.2
37.1,25.1,3.6,42.3
36.6,25,3.6,43.9
37.8,26.8,3,43.4
37.8,28.3,2.8,41.8
37.3,28.6,3.4,42.3
38.1,28.2,3,44.6
38.5,28.9,3.7,35.9
39.1,29.4,3.5,31.8
38.2,29.1,3,40.3
37.9,29.4,3,41.9
37.5,29.4,4,49
37.5,28.6,3.1,55.2
36.8,27.8,3,59.4
36.8,28.7,3,49.8
36.7,28,2.8,58.3
36.9,29,2.7,54.3
35.5,28.4,3.4,64
36.3,27,2.9,56.3
36.5,26.5,3.6,57.1
36.9,27.5,4.5,57
37.8,26.9,4.5,59.5
40.6,29.3,5.4,54
40.7,29.8,3.8,45.5
38.2,29.2,3.4,47.7
37,29.3,3.1,45.4
37.3,29.5,3.9,52.5
32.6,27.2,3.2,54.5
37.4,28.8,3.6,48.4
38,28.3,4.9,59.9
40.3,28.1,4.6,51.2
40.9,29.5,4.9,51.4
40.6,29.6,5.6,54.4
36.7,28.2,5.6,60.3
35,27.8,4.8,59.7
37.2,28.3,4,55
39.1,28.3,5.5,45
41.8,30.6,4.5,38.7
40.6,30.5,4,47.8
33.7,26.2,4.3,57.7
33.6,27,5,51.6
37.1,26.7,4.2,51
39.5,29.3,4.2,52.8
40.4,29.3,4.4,53.5
40.6,29.3,4.7,51.7
33.6,29.5,4.2,47.1
38.1,30.3,3.8,56.2
37.2,30,3.5,53.2
32.8,28.1,4,55.4
37.3,28,4.2,55.2
40,29.4,4.8,57.7
39.8,29.5,5.3,60.1
37.9,29.9,5.3,54
32.6,27,5,58.6
34.9,28.7,5.6,62.3
36.1,28.5,5.3,62.7
35.9,28.1,4.7,66.6
36.2,27.9,3.9,65.8
35.2,27.6,4.3,68.4
35.3,27,3.7,70.1
35.1,27.5,4.8,70.9
34.2,26.6,5.1,70.7
32.1,26.7,4.8,70.1
31.3,25.9,4.3,69.9
31.9,26.6,4.6,78.1
32.3,26.5,4.8,71.2
31.8,25.9,5.2,79.2
30.1,25.8,4.8,73
33.4,26.4,4.9,78.1
35.5,26.7,5.3,69
36.1,29,5.6,68.8
30.5,26.4,6.3,67.8
30.7,25.7,6.2,73.9
32,25.7,6.1,80.1
34.7,26.3,5.9,70.4
35,27.5,5.3,65.3
35.2,27.6,5.8,69.9
32.1,27.6,5.9,69
31.5,25.7,6.3,70.1
31.6,26.2,6.3,76.8
33.5,26.4,6.6,77.7
34.8,27.1,5.6,68.7
36.3,27.8,5.1,62.6
36.4,27.9,5.5,62.5
35.5,27.6,5.4,66.8
34,26.9,5.2,71.6
35.3,28,5.4,74.6
35.6,27.6,4.7,72.1
35.1,27.2,3.8,70
35.9,27.2,3.8,71.2
36.6,27.5,4.6,73.3
37.5,28.2,4.6,69.1
37.9,29.1,4.6,66.2
37.2,28.2,5.3,68.6
36.9,28.9,5.4,70.5
37.6,28.6,4.8,63.7
37.4,29.3,5.4,61.8
37.2,28.8,4.4,65.1
36.6,28.8,4.3,74.2
35.3,26.9,4.2,72.3
34.4,26.6,3.5,76.7
34.4,27.4,3.3,71.1
35.7,28.2,3.7,72.4
35.4,26.5,3.3,74.4
31.3,26.4,2.9,83.3
34,26,2.8,84
33.9,27.1,2.1,79.7
33.6,26.4,2.2,77.2
33.6,27.7,2.4,75.6
29.3,25,1.9,84.7
32.1,25.4,2.4,77.2
32.4,25.9,2.4,79.2
33.1,26.5,2.4,78.2
30.1,25.8,2.9,81.1
29.3,25.3,4.3,74.9
31.5,25.2,4.4,82.4
32.3,26.2,4.7,86.5
33.1,27,4.5,74.9
35.2,27.4,3.9,74.5
35.3,24.9,3.9,75
32.6,24.4,3,89
32.2,25.6,2.8,86.9
32.6,26.1,3.6,81.3
32.5,26.1,4.1,80.5
33.3,26.4,4.6,82.4
32.8,27.5,5.4,83.1
32.6,27.1,5.1,80.4
35,27.1,4.7,74.7
34.4,27.6,4.3,74.3
35.2,27.5,4.2,78.8
35.6,27.7,3.9,75.1
33.8,27.6,2.1,77.1
35.3,27.6,1.7,69.6
35.2,27.2,1.6,71.3
35.4,27.1,2.4,69.8
36.3,26.7,2.3,69.3
37.1,27.5,2.4,73.8
36.4,27.1,2.2,73.6
35.1,27.4,2.2,68.4
32.7,26.9,1.7,70.5
33.2,26.3,1.9,67.6
34.8,27.3,1.8,77.4
32.6,26.9,1.7,78.3
34.8,26.3,2.1,74.4
36,27.4,3.2,68
36.1,28.2,3.4,64.8
34.2,25.7,3.5,68.8
31.4,25.4,3,77.3
32.9,26.2,2.6,75.3
29.8,25.7,3.4,74.8
29.8,25.5,3.4,84.8
31.6,26.1,3.9,77.9
31.4,26.7,3.5,83.3
30.4,26.2,3.1,75.6
31.2,26.8,4.8,80.5
33.1,27,4.9,76.4
32.5,26.7,4.2,78.1
33.5,27.9,3.2,74.4
34.6,27.1,2.6,66.5
34.9,26.7,1.9,69.5
33.8,27.1,1.8,73.5
32.9,26.4,1.9,68.3
34,26,1.7,66.9
33.4,25.6,1.7,70.2
34.5,25.4,1.7,69.8
33.9,24.6,1.4,67.8
34.5,24.5,1.1,67.1
34.6,24.6,1.5,67.8
35,25,1.7,62.4
34.9,25,1.3,63.9
35.5,24.5,1.2,66.4
34.8,24.4,2.1,63.9
35.4,23.8,1.9,61.6
34.8,23,1.8,61.7
33.5,21.5,1.9,63.2
33.1,21.5,1.9,64.5
33,22,2.2,57.9
33.1,22.3,1.9,65
33.4,23.6,2.3,66.6
32,24.3,2.2,69
33.3,23.9,2.2,69.4
33.1,23.9,2.5,67.9
33.4,22.6,2.2,68.7
33.2,21.8,2.8,65
32.3,23.1,2.4,72.2
31.4,24.3,2.6,76.2
31.1,24.9,3,83.2
29.7,24.6,2.7,81
30.3,24.3,2.7,88.4
30.6,25,3.1,80
32.2,26.2,2.5,88.8
32.6,24.8,3.2,91.3
29.9,24.9,3.8,81.7
32,25.4,2.5,78.4
33.2,26.4,2.9,79.6
33.5,25.6,2.6,78.1
33.1,25.1,2.4,86.1
33.3,25.6,2.6,82.2
31.6,24.8,2.1,77.6
30.9,25,1.5,83.6
31.2,24.8,2.2,77.4
31.1,24.7,1.8,73.2
31.2,24.3,1.7,71.7
31.2,23.8,2,74.4
30.7,24.2,2,75.7
31.1,23.3,1.7,74.7
31,22.1,2,76.2
30.8,21.2,2,69.4
30.7,20.8,2.4,64.6
30.2,19.7,2.3,71.1
29.9,19,1.9,67.9
29.5,18.7,2,67.3
30.2,19.1,2.1,73
30.5,20.4,2,67.2
29.8,20.2,1.7,72.7
30.3,20.4,1.9,75.6
30.3,20.4,2.2,70.7
30.3,20,1.9,72.1
30.2,20.3,2.1,71.3
30.5,21,2.4,71.7
30.4,20.7,2.2,70.6
30.7,20.6,2.2,71.6
30.2,21.1,2.4,71.3
30.1,21.3,2.3,80.5
30.4,21.2,2.7,75.7
30.7,20.3,2.5,76.9
30.5,21.1,2.6,76.3
28.9,21.9,2.6,75.4
28.6,21.3,3.2,81.7
30.6,20.9,2.4,73.6
30.6,22.3,2.8,79.6
30.5,22.4,2.8,77.3
30,22.9,3.1,77
29.6,21.5,2.7,73.2
29.3,20.6,2.4,65.4
29.1,19.6,2.9,68.1
29.4,17.6,2.1,70.3
29.2,17.2,2,72.3
29.5,18,2.3,72.5
29.1,18.5,2.8,70.4
29.2,19.6,2.7,75.8
29.6,20.4,2,80.3
30,21.3,1.6,78.7
29.7,20.5,2.5,74.2
28.7,20.8,2.3,70.1
29.4,18.8,2,71.4
29.8,18.5,2.2,61.6
30.1,19.7,2,68
29.7,19.3,2.6,72.6
29.1,19.5,2.4,65.8
28.8,20.3,2.2,75.3
27.5,22.7,2.3,84.8
29.7,23.3,2.5,73.2
31,24.1,2.5,71.1
31.9,23.8,1.9,72.6
30.9,24.1,1.8,84.9
30.9,24.6,2.7,78.8
29.5,24.1,2.8,71.8
29.6,22.5,2.5,71.7
29.7,21.6,2.1,72.2
29.6,21.3,2.1,74.7
30,20.1,2.2,69.1
30.1,19.2,2.1,65.2
29.9,18.1,2.3,61
29.8,17.8,2,62.9
29.4,17.9,2.1,59.6
28.4,18.3,1.9,73
29.8,18.8,2.2,71.1
30.2,19.5,2.2,66
30.3,20.2,2.2,64
30.1,20.7,2.7,69
30.1,20.5,2.8,70.5
30.1,19.9,2.6,63.5
30.3,19.2,2.2,63.2
30.1,19.2,2.3,62.9
30.2,19.6,2.8,63.2
30.8,19.5,2.9,61.2
30.7,19.7,2.9,60.8
30.4,19.6,2.5,65.7
30.6,21,2.4,67.1
30.7,21.1,2.5,67.1
31.4,18.9,2,64
31.6,18.6,2.4,61.8
30.5,18.7,2.7,77.1
30.9,20.1,3.3,73
31.1,20.5,2.8,61.6
31.2,20.7,2.8,56.2
32.2,21.1,2.4,67.2
32.3,21.4,3.1,65.5
31.9,22.8,2.8,71.3
32.8,22.3,2.4,77.5
33.6,22.6,2.5,70.7
33.1,22.8,2.6,63.3
32.4,23.4,2.4,65.6
32.7,24.2,2.1,68.4
33.1,23.6,2.4,69.4
33.9,24.2,2.1,67.8
33.2,24,2.6,70.2
34.2,24.4,2.5,70.9
33.5,24.5,2.3,61.9
33.8,22.9,2.5,55.1
34.1,22.4,2.1,54.1
34.3,23,2.1,50.3
34.3,23,2.2,53.6
35,23.5,2.3,56.3
33.9,23.3,2.4,50.3
34.8,24,2.2,52.7
35.3,24.6,2.6,54.5
35.5,25.9,3,56.9
35,25.8,1.9,50.5
33.7,25.4,2.9,54.6
33.5,25.9,2.7,57.8
33.6,25.1,2.6,61.4
33.8,24.9,2.6,63.1
35.1,25.1,2.1,59.5
34.6,26,2.6,59.3
36.1,25.1,2.2,57
35,25.2,2,55.4
34.6,24.7,2.3,59.3
33.8,24.5,2.4,59.3
36.2,24,2.2,49.3
35.8,24.1,2.4,55.6
36.6,23.4,2.3,52.4
36.6,24.4,2.4,52.5
35.3,24.2,2.4,51.9
34.4,25.6,2.7,61.9
34.8,25.8,2.5,61.6
34.3,25.3,2.5,54.3
34.9,24.9,2.9,60.3
35.7,26.6,2.9,58.6
35.5,26.7,2.7,60.6
36,27.5,3.2,62.2
36.3,28.6,2.9,49.6
37.2,28,3.3,50.1
37.3,27,2.9,55.2
36.6,27,2.6,59.7
36.6,27.3,2.3,61.6
37.1,26.9,2,63.2
37.4,26.7,3.2,58.8
36.8,27.2,2.8,54
36.4,27,2.2,63.4
37.2,27.2,2.3,58.8
37.5,27.4,3.1,51.3
37.3,27.9,1.6,57
36.7,28.2,2.8,58.7
37.3,29.1,3.2,60.9
37,29,2.7,60.3
37.5,28.4,3.1,62
36.6,28.2,2.5,53.1
37,26.9,3,59.3
37.6,28,2.9,58.2
37.3,28.6,3.3,47
37.9,29.4,3.4,52.2
37.1,26.6,3.5,51.3
37.1,27.2,3.1,44.5
37.1,28.8,3.2,49.9
38,27.4,3.1,50.5
37,27.9,3,45.1
37.5,27.8,3.4,60
37.2,27.1,3,63
37.4,27.5,3.1,59.4
36,28,3.4,59.7
36.3,28.1,2.9,63.1
35.7,28.3,2.4,56.4
37.3,27.2,2.6,59.1
37.1,28,3,58.3
36.9,27.1,2.7,57.8
37.1,27.6,2.6,52.3
37.1,28.5,3,50
37,27.7,3.3,63.4
37.8,28.7,2.7,57.2
39.2,29.3,3.2,46.5
39.7,29.2,2.9,52
39.3,29.9,2.8,48.5
38.5,30.2,2.7,51.7
38.5,29.9,3,48.1
38.6,29.5,3.2,52.7
38,29,3,59
38.4,29.5,2.7,53.6
38.2,29.1,2.6,54.7
37.6,28.9,2.6,59.2
30.1,26.2,3.1,71.5
29.7,26.2,3.1,67.5
29.1,25.8,2.4,65.4
33,25.9,3.6,63.7
35.2,28,4.2,60.3
39.3,28.7,4.6,50.3
40.4,30.5,5.4,58.2
41.7,30.9,6.4,48.6
41.5,30.6,4.9,49.1
41.8,30.5,4.7,48.5
40.3,30.8,4.2,49.5
40.6,31.1,4.7,45.7
41.2,30.4,4.2,47.7
41.8,30.7,4.2,50.5
42,30.6,4.4,51.6
42.2,30.8,3.9,45.4
37.2,30.2,4.1,50.2
35.5,28.2,4.5,51.2
41.3,29.6,5.2,56.3
43.1,30.7,4.8,48.2
38.7,28.5,4.6,48
35.3,28.1,2.4,66.8
35.7,27.6,2.9,51.9
35.2,27.9,2.9,70
32,26.8,3.1,61.1
33.2,26.6,3,55.7
33.7,26.8,4.4,62.3
34.8,26.7,5.3,68.5
35.1,26.5,5,79.4
34.7,28.1,4.9,77.4
33.5,26.2,4.2,78.7
30.8,26.5,3.2,72.9
31.7,25.6,3.4,82.6
33.1,27,3.9,81.9
34.6,28.1,4.6,73.1
34.9,29,4.3,74.1
30.2,27,4.6,74.2
34.7,27,4.3,66.6
37.1,28,3.8,70.4
36.9,28.4,4.1,76.1
37.6,28.9,4.1,74.5
37.2,28,3.9,70.8
36.2,26.1,3.8,74.8
31.4,26.5,4,79.8
29.8,25.6,5,80.6
32.8,27.1,4.3,74.9
31.1,26.2,4.3,76.5
29.9,24.8,4,76.4
29.6,24.7,3.4,83.3
27.8,25.2,3.5,80.4
30.3,24.4,3.2,90.8
33.4,26.1,3.5,80.1
34,26.8,3.2,79.5
32.6,28.2,3.8,76.3
29.2,25.8,3.1,84.1
33.9,26.6,4.1,77.8
34.9,28.1,4,76.2
33.9,28.1,3.5,77.8
30.7,26.7,3.5,77
32.2,26.1,3.2,84.8
33.9,26.9,3.6,85.6
34.6,27.6,3.7,78.8
33.3,26.7,4.2,85.8
29.6,25.6,4.3,85.3
32.1,26.2,4.7,85.8
33.2,26.6,4.2,82.5
26.9,25.2,5,79.1
27.3,24.7,5.9,82.4
31.5,26,5.6,80.1
31.9,26.4,4.6,77.9
29.5,25.9,4.1,83.6
29.8,25.8,4.2,79.6
30.8,25.7,4.8,82.8
32.5,25.6,5.1,81.6
33.7,26.8,5.2,78.8
32.9,27.8,5.2,76.6
31.4,27.1,5.2,80.4
29.7,26.2,4.7,76.9
29.3,25.7,4.5,78.8
30.2,25.6,5.5,83.8
32.8,25.1,4.1,77.8
34.2,26.3,3.3,81.1
34.3,26.9,3.4,75.5
35.3,27.7,3.4,75.9
34.4,28.2,3.2,77
34.5,27.7,2.7,80
30,26.1,2.9,86.5
33,26.7,2.7,84.6
33.2,27.4,1.7,82.3
34.1,27.4,2.2,79
33.6,27,2.4,77.6
32.5,26.7,3.5,86.4
34.4,27.4,2.7,81.2
32.7,26.6,1.9,86
33.7,27.2,1.7,89.4
34.7,25.7,2.4,80.9
35,27.2,3.1,81.4
33.7,26.8,2.3,86.3
32.8,26.1,2.7,89.2
30.4,26.3,2,83.3
32.3,26.6,2.9,82.7
32.7,27.1,2.9,85.3
30.6,25.9,3.5,88.4
28.1,24.9,4.5,90.4
32.6,24.8,5,86.2
33.4,27.1,4.7,77.4
33.1,27.5,4.2,82
29.9,25.8,4.1,85.2
30.4,24.9,4.5,82.2
29.1,25.7,4.8,85.5
30.7,25.9,4.4,86.1
28.2,25.8,4.3,86.3
30.3,25.4,4.5,82.6
33.1,26.7,3.9,82.2
32.6,25.7,3.3,82.1
33.6,25.8,3,80.5
32.7,25.8,2.8,79.5
33.2,25.7,2.4,80.7
32.4,25.7,2.6,85.9
31.8,25.6,3,83.6
32,26.2,3.3,86.6
30.2,25.1,3.4,84.7
31.6,25.9,3.2,88.4
32.6,25.7,2.8,75.6
33.4,26.5,2.7,81.7
33.9,26.7,1.1,76.3
33.9,26.2,1.3,80.1
34.3,27.1,1.5,81.6
33.5,26.9,1.6,81.9
34.5,26.5,1.6,81.3
34.2,26.3,1.7,83.4
34.1,26.9,2.4,78.5
34.3,26.7,2.4,78.5
34.4,26.4,1.8,76.5
33.7,26.1,2.2,73.1
30.9,25.4,2.4,79.5
32.3,25.8,1.4,82.7
33.2,25.9,2.1,82.9
34.1,26.2,1.5,80.8
32.7,26.3,1.8,81.6
29.6,25.2,2.4,84.4
29.4,26.1,2.8,81.1
34,25.9,2.2,76.8
33.9,26.9,2,79.3
34.6,27.1,2.4,70.5
34.3,26.3,2.5,75.4
34.7,25.3,2.3,69.9
35.5,25.1,2,71.3
35,24.2,2.5,63.1
30.3,24.9,3.1,65.9
30.1,24.6,4.1,77.1
31.6,25.5,3.5,74
32,26.1,3,86.5
33.3,25.6,2.2,83.2
33.4,25.6,1.5,81.6
34.1,26,2,80.4
34.3,26.8,2.2,83.2
34.3,25.5,2.3,79.1
31.8,25.4,1.6,78.6
29.6,25.1,2.2,76.9
30.5,24.6,2.2,77.4
32.8,24.5,2.7,69.3
31.2,24.3,3,77.7
29.2,23.5,2.3,78.2
26.3,23.6,2.6,88.9
25,23.1,3.1,81.1
25.6,23,2.7,82.9
27,23.3,2.6,84.8
30.4,24.4,2.4,86.3
31.2,24.8,2.1,82.7
31.3,24.3,1.8,78.7
30.4,23.5,2.2,73.3
28,23.5,3.6,82.2
30.6,25.4,4.2,79.1
30.8,24.9,2.6,84.2
31.8,25.2,1.8,81.7
31.8,25,1.6,79.3
31.3,24.7,1.7,81.2
32.5,24.7,1.6,78.8
31.3,25.1,1.6,79
30.9,24.3,2,80.2
29.8,24.3,2.4,81.6
29.8,24.4,2.9,81.8
31.4,24.5,2.5,84
32.2,24.5,1.8,81.9
32.3,24.4,1.6,80.7
32.8,24.8,1.9,77.9
32.3,24.1,2.3,76.7
31.7,23.9,2.3,74.8
31.7,25.1,1.9,78.2
31.4,24.7,2,75.2
30.9,22.2,2.1,79.1
30.8,22,2.1,81.4
32,22.8,2.2,78.7
31.9,23.2,2,78.9
31.4,23.1,1.9,76.4
30.7,23.4,1.7,79.7
30.4,24,2.3,81.5
30.3,22.7,2.4,78.7
29.3,21.6,2.2,74.2
26.5,22.7,2.9,69.1
24.2,20.6,3.3,69.1
23.7,21.5,2.8,84.5
25.9,22.9,2.6,86.4
27.4,23.1,2.3,85.5
30.1,22.1,1.3,77.9
29.7,22.7,1.2,75.7
31.1,22.9,2.1,73
30.5,23.6,1.4,78.4
30.4,23,1.4,81.5
29,22.5,1.8,78
27.9,20.5,1.7,75.9
28.1,19.6,1.4,73.4
28.5,16.7,2,68.3
27.9,16.9,2.7,71.7
28.3,17.8,2.4,60.9
28.4,16.5,1.8,67.5
28.9,15.9,1.2,60.4
29,17.1,1.6,59.5
28.8,18.1,1.7,69.6
29,18.2,1.6,66.9
28.9,18.4,2.1,64.8
28.4,18.4,2.1,69.1
28.4,18.5,2.3,73.6
28,19.3,2,70.9
28.7,19.4,2.1,74.2
29.2,19,2.2,77.1
29.9,20.5,2.2,68.6
29.3,20.7,2.2,68.8
28.7,22,2.9,71.7
28,21,2.4,79.3
27.7,19.7,2.6,71
27.9,17.3,2.6,59.6
27.9,16.7,1.9,69.7
